FASTQ label	True label
"E1, 4, 15, 1"	None
"E1, 4, 15, 2"	None
"E1, 4, 15, 3"	None
"E1, 3, 15, 1"	None
"E1, 3, 27, 2"	"E1, 1, 27, 2"
"E1, 6, 18, 1"	"E1, 7, 18, 1"
"E1, 7, 18, 1"	"E1, 6, 18, 1"
"E1, 6, 18, 2"	"E1, 7, 18, 2"
"E1, 7, 18, 2"	"E1, 6, 18, 2"
"E1, 1, 27, 1"	"E1, 3, 27, 1"
"E1, 3, 27, 1"	"E1, 1, 27, 1"
"E2, 4, 15, 1"	"E2, 3, 15, 1"
"E2, 3, 15, 1"	None
"E2, 3, 4, 1"	"E2, 4, 4, 1"
"E2, 4, 4, 1"	"E2, 3, 4, 1"
"E2, 5, 200, 2"	None
"E2, 5, 200, 3"	None
"E2, 12, 100, 3"	"E2, 13, 55, 2"
"E2, 13, 55, 2"	"E2, 12, 100, 3"
"E2, 1, 2, 2"	"E2, 16, 2, 2"
"E2, 4, 2, 2"	"E2, 19, 2, 2"
"E2, 4, 3, 2"	"E2, 19, 3, 2"
"E2, 1, 19, 2"	"E2, 16, 19, 2"
"E2, 2, 19, 2"	"E2, 17, 19, 2"
"E2, 3, 19, 2"	"E2, 18, 19, 2"
"E2, 4, 19, 2"	"E2, 19, 19, 2"
"E2, 5, 19, 2"	"E2, 20, 19, 2"
"E2, 1, 20, 2"	"E2, 16, 20, 2"
"E2, 2, 20, 2"	"E2, 17, 20, 2"
"E2, 3, 20, 2"	"E2, 18, 20, 2"
"E2, 4, 20, 2"	"E2, 19, 20, 2"
"E2, 5, 20, 2"	"E2, 20, 20, 2"
"E2, 5, 16, 2"	"E2, 20, 16, 2"
"E2, 1, 17, 2"	"E2, 16, 17, 2"
"E2, 2, 17, 2"	"E2, 17, 17, 2"
"E2, 4, 17, 2"	"E2, 19, 17, 2"
"E2, 5, 17, 2"	"E2, 20, 17, 2"
"E2, 2, 21, 2"	"E2, 17, 21, 2"
"E2, 1, 24, 2"	"E2, 16, 24, 2"
"E2, 2, 24, 2"	"E2, 17, 24, 2"
"E2, 3, 24, 2"	"E2, 18, 24, 2"
"E2, 4, 24, 2"	"E2, 19, 24, 2"
"E2, 5, 24, 2"	"E2, 20, 24, 2"
"E2, 1, 29, 2"	"E2, 16, 29, 2"
"E2, 2, 29, 2"	"E2, 17, 29, 2"
"E2, 3, 29, 2"	"E2, 18, 29, 2"
"E2, 4, 29, 2"	"E2, 19, 29, 2"
"E2, 5, 29, 2"	"E2, 20, 29, 2"
"E2, 1, 31, 2"	"E2, 16, 31, 2"
"E2, 2, 31, 2"	"E2, 17, 31, 2"
"E2, 3, 31, 2"	"E2, 18, 31, 2"
"E2, 4, 31, 2"	"E2, 19, 31, 2"
"E2, 5, 31, 2"	"E2, 20, 31, 2"
"E2, 1, 1, 2"	"E2, 16, 1, 2"
"E2, 2, 1, 2"	"E2, 17, 1, 2"
"E2, 3, 1, 2"	"E2, 18, 1, 2"
"E2, 4, 1, 2"	"E2, 19, 1, 2"
"E2, 5, 1, 2"	"E2, 20, 1, 2"
"E2, 3, 4, 2"	"E2, 18, 4, 2"
"E2, 2, 8, 2"	"E2, 17, 8, 2"
"E2, 2, 9, 2"	"E2, 17, 9, 2"
"E2, 3, 9, 2"	"E2, 18, 9, 2"
"E2, 4, 9, 2"	"E2, 19, 9, 2"
"E2, 5, 9, 2"	"E2, 20, 9, 2"
"E2, 4, 15, 2"	"E2, 19, 15, 2"
"E2, 1, 11, 2"	"E2, 16, 11, 2"
"E2, 4, 11, 2"	"E2, 19, 11, 2"
"E2, 5, 11, 2"	"E2, 20, 11, 2"
"E2, 1, 14, 2"	"E2, 16, 14, 2"
"E2, 2, 14, 2"	"E2, 17, 14, 2"
"E2, 4, 14, 2"	"E2, 19, 14, 2"
"E2, 5, 14, 2"	"E2, 20, 14, 2"
"E2, 2, 16, 2"	"E2, 17, 16, 2"
"E2, 3, 16, 2"	"E2, 18, 16, 2"
"E2, 4, 16, 2"	"E2, 19, 16, 2"
"E2, 1, 8, 2"	"E2, 16, 8, 2"
"E2, 2, 2, 2"	"E2, 17, 2, 2"
"E2, 2, 3, 2"	"E2, 17, 3, 2"
"E2, 3, 2, 2"	"E2, 18, 2, 2"
"E2, 3, 3, 2"	"E2, 18, 3, 2"
"E2, 3, 8, 2"	"E2, 18, 8, 2"
"E2, 3, 15, 2"	"E2, 18, 15, 2"
"E2, 4, 4, 2"	"E2, 19, 4, 2"
"E2, 4, 8, 2"	"E2, 19, 8, 2"
"E2, 5, 2, 2"	"E2, 20, 2, 2"
"E2, 5, 3, 2"	"E2, 20, 3, 2"
"E2, 5, 4, 2"	"E2, 20, 4, 2"
"E2, 5, 8, 2"	"E2, 20, 8, 2"
