sampleID,Population,Timepoint,ExtractionBatch,ExtractionTube,Flagged?,Directory,FilenameStem
E1_MGX_Plate1_day0_S97,E1_8;E1_9;E1_7;E1_10;E1_6;E1_13;E1_11;E1_12,0,NA,NA,0,/scratch/users/dpwong/kim_barcodes/E1_mgx/fastq/,E1_MGX_Plate1_day0_S97
E1_MGX_Plate2_day0_S98,E1_3;E1_1;E1_4;E1_2;E1_5,0,NA,NA,0,/scratch/users/dpwong/kim_barcodes/E1_mgx/fastq/,E1_MGX_Plate2_day0_S98
E1_MGX_m10_day12_S107,E1_10,12,NA,NA,0,/scratch/users/dpwong/kim_barcodes/E1_mgx/fastq/,E1_MGX_m10_day12_S107
E1_MGX_m10_day14_S143,E1_10,14,NA,NA,0,/scratch/users/dpwong/kim_barcodes/E1_mgx/fastq/,E1_MGX_m10_day14_S143
E1_MGX_m10_day16_S172,E1_10,16,NA,NA,0,/scratch/users/dpwong/kim_barcodes/E1_mgx/fastq/,E1_MGX_m10_day16_S172
E1_MGX_m10_day17_S206,E1_10,17,NA,NA,0,/scratch/users/dpwong/kim_barcodes/E1_mgx/fastq/,E1_MGX_m10_day17_S206
E1_MGX_m10_day18_S244,E1_10,18,NA,NA,0,/scratch/users/dpwong/kim_barcodes/E1_mgx/fastq/,E1_MGX_m10_day18_S244
E1_MGX_m10_day19_S20,E1_10,19,NA,NA,0,/scratch/users/dpwong/kim_barcodes/E1_mgx/fastq/,E1_MGX_m10_day19_S20
E1_MGX_m10_day1_S118,E1_10,1,NA,NA,0,/scratch/users/dpwong/kim_barcodes/E1_mgx/fastq/,E1_MGX_m10_day1_S118
E1_MGX_m10_day20_S50,E1_10,20,NA,NA,0,/scratch/users/dpwong/kim_barcodes/E1_mgx/fastq/,E1_MGX_m10_day20_S50
E1_MGX_m10_day21_S80,E1_10,21,NA,NA,0,/scratch/users/dpwong/kim_barcodes/E1_mgx/fastq/,E1_MGX_m10_day21_S80
E1_MGX_m10_day22_S189,E1_10,22,NA,NA,0,/scratch/users/dpwong/kim_barcodes/E1_mgx/fastq/,E1_MGX_m10_day22_S189
E1_MGX_m10_day27_S122,E1_10,27,NA,NA,0,/scratch/users/dpwong/kim_barcodes/E1_mgx/fastq/,E1_MGX_m10_day27_S122
E1_MGX_m10_day29_S78,E1_10,29,NA,NA,0,/scratch/users/dpwong/kim_barcodes/E1_mgx/fastq/,E1_MGX_m10_day29_S78
E1_MGX_m10_day2_S151,E1_10,2,NA,NA,0,/scratch/users/dpwong/kim_barcodes/E1_mgx/fastq/,E1_MGX_m10_day2_S151
E1_MGX_m10_day33_S120,E1_10,33,NA,NA,0,/scratch/users/dpwong/kim_barcodes/E1_mgx/fastq/,E1_MGX_m10_day33_S120
E1_MGX_m10_day36_S163,E1_10,36,NA,NA,0,/scratch/users/dpwong/kim_barcodes/E1_mgx/fastq/,E1_MGX_m10_day36_S163
E1_MGX_m10_day3_S196,E1_10,3,NA,NA,0,/scratch/users/dpwong/kim_barcodes/E1_mgx/fastq/,E1_MGX_m10_day3_S196
E1_MGX_m10_day40_S159,E1_10,40,NA,NA,0,/scratch/users/dpwong/kim_barcodes/E1_mgx/fastq/,E1_MGX_m10_day40_S159
E1_MGX_m10_day45_S181,E1_10,45,NA,NA,0,/scratch/users/dpwong/kim_barcodes/E1_mgx/fastq/,E1_MGX_m10_day45_S181
E1_MGX_m10_day46_S189,E1_10,46,NA,NA,0,/scratch/users/dpwong/kim_barcodes/E1_mgx/fastq/,E1_MGX_m10_day46_S189
E1_MGX_m10_day47_S198,E1_10,47,NA,NA,0,/scratch/users/dpwong/kim_barcodes/E1_mgx/fastq/,E1_MGX_m10_day47_S198
E1_MGX_m10_day48_S207,E1_10,48,NA,NA,0,/scratch/users/dpwong/kim_barcodes/E1_mgx/fastq/,E1_MGX_m10_day48_S207
